ES,EN,shortlist
Cabernet Sauvignon,Cabernet Sauvignon,true
Merlot,Merlot,true
Cabernet Franc,Cabernet Franc,true
Pinot Noir,Pinot Noir,true
Syrah,Syrah,true
Shiraz,Shiraz,true
Syrah / Shiraz,Syrah / Shiraz,true
Grenache,Grenache,true
Garnacha,Grenache,true
Tempranillo,Tempranillo,true
Sangiovese,Sangiovese,true
Nebbiolo,Nebbiolo,true
Barbera,Barbera,true
Dolcetto,Dolcetto,true
Malbec,Malbec,true
Petit Verdot,Petit Verdot,true
Carmenère,Carmenère,true
Zinfandel,Zinfandel,true
Primitivo,Primitivo,true
Mourvèdre,Mourvèdre,true
Monastrell,Mourvèdre,true
Carignan,Carignan,true
Cariñena,Carignan,true
Mazuelo,Carignan,true
Chardonnay,Chardonnay,true
Sauvignon Blanc,Sauvignon Blanc,true
Riesling,Riesling,true
Gewürztraminer,Gewürztraminer,true
Pinot Grigio,Pinot Grigio,true
Pinot Gris,Pinot Gris,true
Albariño,Albariño,true
Verdejo,Verdejo,true
Godello,Godello,true
Viura,Viura,true
Macabeo,Viura,true
Xarel·lo,Xarel·lo,true
Parellada,Parellada,true
Mencía,Mencía,true
Bobal,Bobal,true
Graciano,Graciano,true
Mazuelo,Mazuelo,true
Touriga Nacional,Touriga Nacional,true
Touriga Franca,Touriga Franca,true
Tinta Roriz,Tinta Roriz,true
Tinta Barroca,Tinta Barroca,true
Trincadeira,Trincadeira,true
Castelão,Castelão,true
Arinto,Arinto,true
Vinhão,Vinhão,true
Loureiro,Loureiro,true
Alvarinho,Alvarinho,true
Chenin Blanc,Chenin Blanc,true
Sémillon,Sémillon,true
Muscadet,Muscadet,true
Melon de Bourgogne,Melon de Bourgogne,true
Ugni Blanc,Ugni Blanc,true
Trebbiano,Trebbiano,true
Vermentino,Vermentino,true
Fiano,Fiano,true
Falanghina,Falanghina,true
Greco,Greco,true
Aglianico,Aglianico,true
Montepulciano,Montepulciano,true
Corvina,Corvina,true
Rondinella,Rondinella,true
Molinara,Molinara,true
Glera,Glera,true
Prosecco,Prosecco,true
Moscato,Moscato,true
Muscat,Muscat,true
Moscatel,Muscat,true
Palomino,Palomino,true
Pedro Ximénez,Pedro Ximénez,true
Airén,Airén,false
Cayetana Blanca,Cayetana Blanca,false
Zalema,Zalema,false
Pardina,Pardina,false
Jaén Blanco,Jaén Blanco,false
Malvar,Malvar,false
Alarije,Alarije,false
Chelva,Chelva,false
Planta Fina,Planta Fina,false
Planta Nova,Planta Nova,false
Tortosí,Tortosí,false
Subirat Parent,Subirat Parent,false
Sumoll,Sumoll,false
Ull de Llebre,Ull de Llebre,false
Trepat,Trepat,false
Mandó,Mandó,false
Picapoll,Picapoll,false
Hondarribi Zuri,Hondarribi Zuri,false
Hondarribi Beltza,Hondarribi Beltza,false
Folle Blanche,Folle Blanche,false
Colombard,Colombard,false
Petit Manseng,Petit Manseng,false
Gros Manseng,Gros Manseng,false
Tannat,Tannat,false
Fer Servadou,Fer Servadou,false
Malbec,Malbec,false
Duras,Duras,false
Prunelard,Prunelard,false
Abouriou,Abouriou,false
Cinsault,Cinsault,false
Counoise,Counoise,false
Vaccarèse,Vaccarèse,false
Terret Noir,Terret Noir,false
Picpoul,Picpoul,false
Clairette,Clairette,false
Bourboulenc,Bourboulenc,false
Roussanne,Roussanne,false
Marsanne,Marsanne,false
Viognier,Viognier,false
Rolle,Rolle,false
Vermentino,Vermentino,false
Tibouren,Tibouren,false
Braquet,Braquet,false
Fuella Nera,Fuella Nera,false
Sciaccarello,Sciaccarello,false
Nielluccio,Nielluccio,false
Biancu Gentile,Biancu Gentile,false
Vermentino,Vermentino,false
Malvoisie,Malvoisie,false
Müller-Thurgau,Müller-Thurgau,false
Silvaner,Silvaner,false
Scheurebe,Scheurebe,false
Kerner,Kerner,false
Bacchus,Bacchus,false
Ortega,Ortega,false
Huxelrebe,Huxelrebe,false
Optima,Optima,false
Reichensteiner,Reichensteiner,false
Ehrenfelser,Ehrenfelser,false
Siegerrebe,Siegerrebe,false
Faber,Faber,false
Morio-Muskat,Morio-Muskat,false
Perle,Perle,false
Phoenix,Phoenix,false
Regent,Regent,false
Rondo,Rondo,false
Solaris,Solaris,false
Johanniter,Johanniter,false
Cabernet Cortis,Cabernet Cortis,false
Cabernet Carbon,Cabernet Carbon,false
Pinotage,Pinotage,false
Cinsaut,Cinsaut,false
Hanepoot,Hanepoot,false
Steen,Steen,false
Colombar,Colombar,false
Ruby Cabernet,Ruby Cabernet,false
Tinta Amarela,Tinta Amarela,false
Tinta Cão,Tinta Cão,false
Souzão,Souzão,false
Tinta Francisca,Tinta Francisca,false
Malvasia Fina,Malvasia Fina,false
Rabigato,Rabigato,false
Códega,Códega,false
Gouveio,Gouveio,false
Moscatel Galego,Moscatel Galego,false
Fernão Pires,Fernão Pires,false
Bical,Bical,false
Cercial,Cercial,false
Encruzado,Encruzado,false
