ES,EN
Tinto,Red
Blanco,White
Rosado,Rosé
Rosa,Rosé
Rosé,Rosé
Espumoso,Sparkling
Cava,Sparkling
Champagne,Champagne
Prosecco,Prosecco
Cremant,Crémant
Sekt,Sekt
Espumoso Rosado,Sparkling Rosé
Dulce,Sweet
Semidulce,Semi-Sweet
Semiseco,Semi-Dry
Seco,Dry
Brut,Brut
Extra Brut,Extra Brut
Brut Nature,Brut Nature
Generoso,Fortified
Jerez,Sherry
Oporto,Port
Madeira,Madeira
Marsala,Marsala
Moscatel,Muscat
Pedro Ximénez,Pedro Ximénez
Fino,Fino
Manzanilla,Manzanilla
Amontillado,Amontillado
Oloroso,Oloroso
Palo Cortado,Palo Cortado
Cream,Cream
Licoroso,Dessert Wine
Vino de Hielo,Ice Wine
Vendimia Tardía,Late Harvest
Botrytis,Noble Rot
Pasificado,Passito
Vino de Aguja,Pétillant
Clarete,Light Red
Tinto Joven,Young Red
Tinto Crianza,Crianza
Tinto Reserva,Reserva
Tinto Gran Reserva,Gran Reserva
Blanco Joven,Young White
Blanco Crianza,White Crianza
Blanco Reserva,White Reserva
Blanco Fermentado en Barrica,Barrel Fermented White
Blanco sobre Lías,Sur Lie White
Orange Wine,Orange Wine
Vino Naranja,Orange Wine
Natural,Natural Wine
Biodinámico,Biodynamic
Ecológico,Organic
Sin Sulfitos,Sulfite-Free
Bajo en Alcohol,Low Alcohol
Sin Alcohol,Non-Alcoholic
Dealcoholizado,Dealcoholized
